Raza;Actividad;Apetito;Sueño;Vocalización;Enfermedad
Gato Birmano;2;3;2;1;Problemas renales
Golden Retriever;2;3;6;7;Obesidad
Labrador Retriever;1;2;9;5;Obesidad
Gato Azul Ruso;8;9;2;8;Hipertiroidismo
Labrador Retriever;6;7;6;4;Enfermedades del disco
Gato Scottish Fold;1;2;2;1;Infecciones del tracto urinario
Gato Bosque de Noruega;4;5;9;6;Obesidad
Gato Bosque de Noruega;8;9;4;6;Problemas dentales
Beagle;10;11;5;5;Enfermedades cardíacas
Boxer;10;11;10;4;Problemas oculares
Gato Bengalí;6;7;1;2;Infecciones del tracto urinario
Gato Sphynx;6;7;5;8;Problemas renales
Bullmastiff;3;4;5;1;Obesidad
Chihuahua;9;10;5;8;Enfermedades del disco
Rottweiler;8;9;2;7;Infección gastrointestinal
Dachshund;5;6;2;3;Normal
Boxer;3;4;8;4;Problemas oculares
Bullmastiff;1;2;7;5;Obesidad
Labrador Retriever;5;6;6;2;Displasia de cadera
Gato Birmano;3;4;10;4;Normal
Bulldog;10;11;2;7;Infección gastrointestinal
Bullmastiff;8;9;9;1;Torsión gástrica
Gato Azul Ruso;5;6;8;7;Enfermedades respiratorias
Gato Ragdoll;5;6;2;2;Problemas renales
Rottweiler;5;6;5;5;Infección gastrointestinal
Rottweiler;3;4;8;3;Obesidad
Gato Birmano;4;5;10;4;Problemas dentales
Labrador Retriever;10;11;8;1;Problemas oculares
Doberman Pinscher;8;9;5;9;Infección gastrointestinal
Doberman Pinscher;6;7;8;10;Enfermedades del disco
Gato Siamés;2;3;8;7;Obesidad
Gato Sphynx;10;11;3;10;Hipertiroidismo
Cocker Spaniel;1;2;9;3;Obesidad
Cocker Spaniel;5;6;5;7;Ansiedad por separación
Dogo Argentino;1;2;5;9;Ansiedad por separación
Gato Ragdoll;10;11;8;7;Hipertiroidismo
Dachshund;10;11;4;8;Infección gastrointestinal
Labrador Retriever;4;5;9;2;Displasia de cadera
Gato Sphynx;1;2;10;1;Enfermedades respiratorias
Dogo Argentino;1;2;7;3;Torsión gástrica
Bulldog;5;6;5;8;Ansiedad por separación
Gato Bengalí;1;2;4;1;Estrés crónico
Gato Maine Coon;9;10;1;6;Problemas dentales
Rottweiler;10;11;8;9;Ansiedad por separación
Pug;10;11;5;4;Ansiedad por separación
Gato Scottish Fold;9;10;7;8;Hipertiroidismo
Labrador Retriever;3;4;3;4;Problemas respiratorios
Beagle;10;11;3;10;Normal
Bulldog;2;3;1;6;Enfermedades del disco
Gato Siamés;10;11;6;9;Hipertiroidismo
Gato Bosque de Noruega;2;3;5;5;Problemas renales
Gato Sphynx;10;11;3;10;Hipertiroidismo
Gato Scottish Fold;10;11;6;9;Hipertiroidismo
Gato Siamés;1;2;9;5;Problemas dentales
Beagle;6;7;9;3;Enfermedades cardíacas
Labrador Retriever;9;10;2;5;Infección gastrointestinal
Boxer;1;2;7;4;Torsión gástrica
Pug;1;2;3;5;Problemas respiratorios
Doberman Pinscher;5;6;1;8;Obesidad
Dachshund;1;2;9;4;Problemas respiratorios
Dachshund;6;7;9;3;Infección gastrointestinal
Gato Siamés;9;10;6;2;Enfermedades respiratorias
Shih Tzu;4;5;5;8;Infección gastrointestinal
Gato Maine Coon;7;8;10;1;Problemas renales
Doberman Pinscher;6;7;7;5;Displasia de cadera
Dogo Argentino;4;5;6;3;Enfermedades cardíacas
